,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,VSPD_LIM,LGT_COND,WEATHER,VSURCOND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
22999,400443,2,7,8,6,70,2,10,1,40,0,low,0.2857142857142857,
23000,400444,1,3,10,1,65,1,1,1,40,0,low,0.3333333333333333,
23001,400445,2,3,10,0,70,1,2,2,40,0,high,0.6666666666666666,
23002,400446,1,2,11,0,45,1,1,1,40,0,low,0.5,
23003,400447,1,2,10,0,75,2,1,1,40,1,low,0.5,
23004,400448,1,3,10,6,65,1,1,1,40,0,low,0.3333333333333333,
23005,400449,1,2,10,6,45,1,1,1,40,1,low,0.5,
23006,400450,1,3,10,0,45,2,1,1,40,0,low,0.3333333333333333,
23007,400451,1,1,8,0,40,2,10,1,40,0,high,1.0,
23008,400452,1,2,8,0,70,2,1,1,40,1,low,0.5,
23009,400453,1,4,10,6,70,1,1,1,40,0,low,0.25,
23010,400454,1,4,10,0,70,2,10,1,40,0,low,0.25,
23011,400455,1,2,10,6,65,1,2,2,40,0,low,0.5,
23012,400456,1,1,10,0,70,4,1,1,40,0,high,1.0,
23013,400457,1,2,11,6,65,4,1,1,40,0,low,0.5,
23014,400458,1,1,9,0,75,1,1,1,40,0,high,1.0,
23015,400459,1,1,9,0,40,1,10,1,40,0,high,1.0,
23016,400460,1,1,10,0,25,1,1,1,40,0,high,1.0,
23017,400461,1,3,10,6,55,1,10,1,40,0,low,0.3333333333333333,
23018,400462,1,1,10,0,65,2,1,1,40,1,high,1.0,
23019,400463,1,3,9,0,25,2,1,1,40,1,low,0.3333333333333333,
23020,400464,1,2,9,0,45,1,1,1,40,0,low,0.5,
23021,400465,1,1,9,0,35,3,1,1,40,0,high,1.0,
23022,400466,1,1,10,0,35,3,1,1,40,0,high,1.0,
23023,400467,1,1,10,0,40,3,1,1,40,0,high,1.0,
23024,400468,1,1,11,0,35,3,10,1,40,1,high,1.0,
23025,400469,1,1,10,0,65,1,1,1,40,0,high,1.0,
23026,400470,1,1,8,0,40,1,10,1,40,0,high,1.0,
23027,400471,1,1,9,0,35,3,10,1,40,0,high,1.0,
23028,400472,1,1,10,0,45,1,10,1,40,0,high,1.0,
23029,400473,1,3,11,0,40,3,1,1,40,0,low,0.3333333333333333,
23030,400474,1,4,11,6,70,2,1,1,40,0,low,0.25,
23031,400475,1,2,11,6,65,1,1,1,40,1,low,0.5,
23032,400477,1,4,11,0,65,1,1,1,40,0,low,0.25,
23033,400478,1,4,11,2,70,2,2,2,40,1,low,0.25,
23034,400479,1,1,11,0,65,1,2,2,40,0,high,1.0,
23035,400480,1,4,11,2,65,4,2,2,40,0,low,0.25,
23036,400481,1,1,11,0,45,1,10,1,40,0,high,1.0,
23037,400482,1,3,11,6,65,1,10,1,40,0,low,0.3333333333333333,
23038,400483,1,1,11,0,35,2,1,1,40,1,high,1.0,
23039,400484,1,1,11,0,40,2,1,1,40,0,high,1.0,
23040,400485,1,2,11,0,45,2,2,2,40,0,low,0.5,
23041,400486,1,1,11,0,45,1,5,1,40,0,high,1.0,
23042,400487,1,2,10,6,55,1,1,1,40,0,low,0.5,
23043,400488,1,3,9,7,65,1,1,1,40,0,low,0.3333333333333333,
23044,400489,1,2,9,0,25,1,1,1,40,0,low,0.5,
23045,400490,1,1,10,0,25,1,1,1,40,0,high,1.0,
23046,400491,1,3,10,6,40,1,10,1,40,0,low,0.3333333333333333,
23047,400492,1,4,10,6,65,2,10,1,40,0,low,0.25,
23048,400493,1,2,9,1,55,1,1,1,40,0,low,0.5,
23049,400494,1,2,11,6,55,1,1,1,40,0,low,0.5,
23050,400495,1,1,9,0,65,1,1,1,40,0,high,1.0,
23051,400496,2,5,11,6,65,1,1,1,40,0,low,0.4,
23052,400497,1,2,10,0,40,3,1,1,40,0,low,0.5,
23053,400498,1,3,11,0,30,3,1,1,40,1,low,0.3333333333333333,
23054,400499,1,1,11,0,65,2,1,1,40,0,high,1.0,
23055,400500,1,5,11,7,70,1,1,1,40,0,low,0.2,
23056,400501,1,1,10,0,60,2,2,2,40,1,high,1.0,
23057,400502,1,4,11,6,55,1,1,1,40,0,low,0.25,
23058,400503,1,4,11,2,65,2,1,1,40,0,low,0.25,
23059,400504,1,2,11,1,70,1,1,1,40,0,low,0.5,
23060,400505,1,4,11,6,70,1,1,1,40,0,low,0.25,
23061,400506,1,1,9,0,25,2,10,1,40,0,high,1.0,
23062,400507,1,4,11,0,45,2,1,1,40,0,low,0.25,
23063,400508,1,5,11,6,55,2,1,1,40,0,low,0.2,
23064,400509,1,1,12,0,45,1,1,1,40,0,high,1.0,
23065,400510,1,2,10,0,40,1,1,1,40,0,low,0.5,
23066,400511,1,2,11,6,70,1,2,2,40,0,low,0.5,
23067,400512,1,2,11,0,40,3,1,1,40,0,low,0.5,
23068,400513,1,2,11,6,55,3,10,1,40,1,low,0.5,
23069,400514,1,1,12,0,35,2,1,1,40,1,high,1.0,
23070,400515,1,3,8,7,55,1,10,1,40,0,low,0.3333333333333333,
23071,400516,1,1,11,0,45,2,2,4,40,1,high,1.0,
23072,400517,1,1,11,0,25,3,2,2,40,1,high,1.0,
23073,400518,1,1,12,0,50,2,1,1,40,0,high,1.0,
23074,400519,1,2,12,6,55,1,1,1,40,1,low,0.5,
23075,400520,1,2,12,0,35,3,1,1,40,0,low,0.5,
23076,400521,1,2,12,1,65,1,1,1,40,0,low,0.5,
23077,400522,1,2,8,6,55,1,1,1,40,0,low,0.5,
23078,400523,1,7,10,2,55,1,10,1,40,0,low,0.14285714285714285,
23079,400524,1,3,12,6,40,1,2,2,40,0,low,0.3333333333333333,
23080,400525,2,2,12,0,65,2,1,1,40,0,high,1.0,
23081,400526,1,5,10,2,65,1,1,1,40,0,low,0.2,
23082,400527,1,1,11,0,35,1,1,1,40,0,high,1.0,
23083,400528,1,1,11,0,65,5,10,1,40,0,high,1.0,
23084,400529,1,3,12,6,65,5,10,1,40,0,low,0.3333333333333333,
23085,400530,1,3,12,6,65,5,10,1,40,0,low,0.3333333333333333,
23086,400531,1,9,10,2,45,2,1,2,40,0,low,0.1111111111111111,
23087,400532,1,1,11,0,45,2,1,1,40,1,high,1.0,
23088,400533,1,2,11,0,60,2,1,1,40,0,low,0.5,
23089,400534,1,1,11,0,70,2,2,2,40,0,high,1.0,
23090,400535,1,1,12,0,45,2,2,6,40,0,high,1.0,
23091,400536,1,0,12,0,45,1,1,1,40,0,high,inf,
23092,400537,1,1,12,0,70,5,10,1,40,0,high,1.0,
23093,400538,1,1,12,0,55,2,1,1,40,1,high,1.0,
23094,400539,1,1,12,0,45,2,1,1,40,1,high,1.0,
23095,400540,1,1,10,0,35,2,1,1,40,0,high,1.0,
23096,400541,1,1,9,0,65,1,1,1,40,0,high,1.0,
23097,400543,1,1,11,0,70,1,1,1,40,0,high,1.0,
23098,400544,1,2,11,0,65,2,2,2,40,0,low,0.5,
23099,400545,1,2,11,1,65,2,2,2,40,0,low,0.5,
23100,400546,1,2,12,0,60,3,1,1,40,0,low,0.5,
23101,400547,1,3,12,6,40,1,1,1,40,0,low,0.3333333333333333,
23102,400548,1,1,12,0,40,2,1,1,40,1,high,1.0,
23103,400549,1,2,7,6,35,1,1,1,40,0,low,0.5,
23104,400550,1,2,8,0,45,1,1,1,40,1,low,0.5,
23105,400551,1,1,12,0,35,3,1,1,40,1,high,1.0,
23106,400552,1,1,12,0,35,2,1,1,40,1,high,1.0,
23107,400553,1,1,11,0,45,2,1,1,40,0,high,1.0,
23108,400554,1,2,8,1,65,1,1,1,40,0,low,0.5,
23109,400555,1,2,11,6,45,1,2,2,40,0,low,0.5,
23110,400556,1,2,12,0,45,2,10,2,40,1,low,0.5,
23111,400557,1,3,12,6,50,3,10,1,40,0,low,0.3333333333333333,
