,ST_CASE,FATALS,PERSONS,MONTH,MAN_COLL,SP_LIMIT,LGT_COND,WEATHER,SUR_COND,STATE,DRUNK_DR,rate,rate_numerical,arrival_time
22465,350310,1,1,7,0,45,2,1,1,35,1,high,1.0,
22466,350311,1,1,12,0,65,5,1,2,35,1,high,1.0,
22467,350312,1,5,11,5,99,2,1,1,35,0,low,0.2,
22468,350313,1,2,10,0,99,2,1,1,35,1,low,0.5,
22469,350314,1,3,8,0,65,3,1,1,35,1,low,0.3333333333333333,
22470,350315,1,1,10,0,99,2,1,1,35,1,high,1.0,
22471,350316,1,4,7,1,35,1,1,1,35,1,low,0.25,
22472,350317,1,3,7,5,25,1,1,1,35,0,low,0.3333333333333333,
22473,350318,1,1,6,99,99,3,1,1,35,1,high,1.0,
22474,350319,1,3,5,3,35,1,1,1,35,1,low,0.3333333333333333,
22475,350320,1,2,1,5,99,1,1,1,35,0,low,0.5,
22476,350321,1,3,10,5,40,3,1,1,35,0,low,0.3333333333333333,
22477,350322,1,1,9,0,35,1,1,1,35,0,high,1.0,
22478,350323,1,1,1,0,65,3,1,1,35,0,high,1.0,
22479,350324,1,5,7,0,55,1,1,1,35,2,low,0.2,
22480,350325,1,3,6,5,25,1,1,1,35,0,low,0.3333333333333333,
22481,350326,1,1,5,0,45,5,1,1,35,1,high,1.0,
22482,350327,1,2,8,0,25,1,1,1,35,0,low,0.5,
22483,350328,1,2,8,0,25,1,1,1,35,0,low,0.5,
22484,350329,1,6,1,0,35,1,1,1,35,1,low,0.16666666666666666,
22485,350330,1,2,9,0,45,1,1,1,35,0,low,0.5,
22486,350331,1,6,7,1,60,1,2,2,35,0,low,0.16666666666666666,
22487,350332,1,8,5,4,55,1,1,1,35,0,low,0.125,
22488,350333,1,1,8,0,40,3,1,1,35,0,high,1.0,
22489,350334,1,1,8,0,55,1,1,1,35,0,high,1.0,
22490,350335,1,3,4,0,75,2,3,2,35,0,low,0.3333333333333333,
22491,350336,1,1,9,0,45,1,1,1,35,1,high,1.0,
22492,350337,1,3,7,0,55,1,1,1,35,0,low,0.3333333333333333,
22493,350338,1,1,6,0,25,3,1,1,35,0,high,1.0,
22494,350339,1,2,10,0,45,1,1,1,35,0,low,0.5,
22495,350340,1,3,2,0,45,2,1,1,35,3,low,0.3333333333333333,
22496,350341,1,2,11,5,25,5,1,1,35,0,low,0.5,
22497,350342,1,2,5,0,50,2,1,1,35,1,low,0.5,
22498,350343,1,5,6,0,75,5,1,1,35,0,low,0.2,
22499,350344,1,3,3,0,25,2,1,1,35,2,low,0.3333333333333333,
22500,350345,1,1,7,0,65,1,1,1,35,1,high,1.0,
22501,350346,1,1,3,0,25,1,1,1,35,1,high,1.0,
22502,350347,1,3,9,5,25,2,1,1,35,0,low,0.3333333333333333,
22503,350348,1,8,11,5,35,3,1,1,35,1,low,0.125,
22504,350349,1,1,12,0,75,2,1,1,35,1,high,1.0,
22505,350350,1,3,2,0,75,2,1,1,35,3,low,0.3333333333333333,
22506,350351,1,2,9,0,55,2,1,1,35,1,low,0.5,
22507,350352,1,1,12,0,30,1,1,1,35,0,high,1.0,
22508,350353,1,2,7,0,99,1,1,1,35,2,low,0.5,
